nome do item (primary key),nivel de estrela ,tempo de crescimento (ticks),favoravel (inverno),favoravel (verão),favoravel (primavera),favoravel (outono),quantidade de produção media de drops contados,variancia,consumo(agua)/kt,consumo(nitrogenio)/kt,consumo(postassio)/kt,consumo(fosforo)/kt,consumo(ferro)/kt,consumo(zinco)/kt,consumo(magnesio)/kt,nutriente necessario (Água),nutriente necessario (Nitrogênio),nutriente necessario (Potássio),nutriente necessario (Fósforo),nutriente necessario (Ferro),nutriente necessario (Zinco),nutriente necessario (Magnésio)
semente de trigo I,1,1000,TRUE,TRUE,TRUE,TRUE,0,0,66,66,66,66,66,66,66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
semente de trigo II,2,800,TRUE,TRUE,TRUE,TRUE,1,1,50,50,50,50,50,50,50,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
semente de trigo III,3,500,TRUE,TRUE,TRUE,TRUE,0,0,40,40,40,40,40,40,40,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
semente de cenoura I,1,800,FALSE,FALSE,TRUE,FALSE,0,0,33,33,33,33,33,33,33,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
semente de cenoura II,2,800,FALSE,TRUE,TRUE,FALSE,0,0,33,33,33,33,33,33,33,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
semente de cenoura III,3,600,TRUE,TRUE,TRUE,TRUE,0,0,33,33,33,33,33,33,33,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
semente de maramão I,1,1500,TRUE,TRUE,TRUE,TRUE,2,0,10,10,10,10,10,10,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
semente de maramão II,2,1000,TRUE,TRUE,TRUE,TRUE,0,0,10,10,10,10,10,10,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
semente de maramão III,3,500,TRUE,TRUE,TRUE,TRUE,0,0,10,10,10,10,10,10,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
semente maluca I,1,2000,TRUE,TRUE,TRUE,TRUE,0,0,10,10,10,10,10,10,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
semente maluca II,2,2000,TRUE,TRUE,TRUE,TRUE,0,0,10,10,10,10,10,10,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
semente maluca III,3,2000,TRUE,TRUE,TRUE,TRUE,0,0,10,10,10,10,10,10,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
